PATH;;;;;;;;;;;;Category
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1968.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1712.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2120.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1747.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_134.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_607.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2366.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1015.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_726.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2579.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1484.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2467.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_557.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2498.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_663.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_832.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2764.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_74.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_500.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_787.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1585.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1575.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1505.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_290.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_942.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1718.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2982.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1161.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_198.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_120.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2770.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_719.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1748.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_868.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_679.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_260.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1619.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1085.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_219.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1004.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1216.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2218.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1763.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_649.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1228.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_47.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1661.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2069.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_488.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1056.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1356.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2719.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_312.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2737.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2499.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2886.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2132.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_912.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1255.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1186.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2268.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1423.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2880.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2226.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_2748.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1389.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_174.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1628.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_1429.jpg;;;;;;;;;;;;AnnualCrop
/work/cvcs2024/air_pollution_prediction/Eurosat/AnnualCrop/AnnualCrop_871.jpg;;;;;;;;;;;;AnnualCrop
